variable,problema,valor,frecuencia
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  BELGA  GUATEMALTECO,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA COLEGIO  SANTA MARGARITA,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO DE EDUCACION DIVERSIFICADA  LICEO IBERO GUATEMALTECO,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO DE EDUCACION DIVERSIFICADA  RAFAEL LANDIVAR,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO DE EDUCACION DIVERSIFICADA  CENTRO DE ENSEÑANZA DE INGLES SISTEMATIZADA  CEIS,1
ESTABLECIMIENTO,espacios multiples internos,LICEO TECNOLÓGICO GUATEMALA DE LA  ASUNCIÓN,1
ESTABLECIMIENTO,espacios multiples internos,LICEO  SANTA MARIA,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MIXTO DE MAGISTERIO BILINGUE  SAN ANTONIO DE PADUA,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA  ""SANTO DOMINGO""",1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TECNICO VOCACIONAL  SAN AGUSTIN,1
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL  DE EDUCACIÓN DIVERSIFICADA,1
ESTABLECIMIENTO,espacios multiples internos,LICEO TECNOLOGICO  JOSE DE JESUS,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO  MONJA BLANCA,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PARA VARONES  SAN SEBASTIAN,1
ESTABLECIMIENTO,espacios multiples internos,"CENTRO DE EDUCACION EXTRAESCOLAR CEEX  ""EL ROI""",1
ESTABLECIMIENTO,espacios multiples internos,ESCUELA TECNICA  GUATEMALA,1
ESTABLECIMIENTO,espacios multiples internos,ESCUELA NAC. DE CIENCIAS COMERCIALES NOCT. ADSC. AL INEB  MIGUEL GARCIA GRANADOS,1
ESTABLECIMIENTO,espacios multiples internos,LICEO  MIXTO  CULTURA,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PARTICULAR  MIXTO ""MIGUEL ÁNGEL ASTURIAS""",1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  LANDIVAR,1
ESTABLECIMIENTO,espacios multiples internos,ESCUELA DE CIENCIAS   COMERCIALES  Y  BACHILLERATO EN MERCADOTECNIA ANEXOS,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO  EDUCATIVO  PRIVADO  MONTE  HOREB,1
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO MIXTO  ""INDO LATINO""",1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO BILINGÜE ESPECIALIZADO EN COMPUTACIÓN YULIMAY´PC  (POR MADUREZ),1
ESTABLECIMIENTO,espacios multiples internos,COELGIO BILINGUE ESPECIALIZADO EN COMPUTACION  YULIMAY  PC  (POR MADUREZ),1
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO  MONTENEVADO,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO BILINGUE EN COMPUTACION  BEHULA,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  RAFAEL LANDIVAR,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO DE EDUCACIÓN EXTRAESCOLAR  ASOCIACIÓN  CREAMOS,1
ESTABLECIMIENTO,espacios multiples internos,LICEO DE COMPUTACIÓN  C.S.S. ZONA 7,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO NORMAL  ZACAPANECO PEM. DAGOBERTO ENRIQUE GÓMEZ HERNÁNDEZ,1
ESTABLECIMIENTO,espacios multiples internos,ESCUELA PARTICULAR MIXTA DE EDUCACION FISICA  MONTE MARIA,1
ESTABLECIMIENTO,espacios multiples internos,LICEO  EDUCATIVO TÉCNICO EVANGÉLICO,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  SANTA MARGARITA,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  LA VERDAD,1
ESTABLECIMIENTO,espacios multiples internos,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA,  PRONEA",1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO DE  ESTUDIOS COMERCIALES Y ADMINISTRATIVOS -IECA-,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO DE COMPUTACION  IMB-PC,1
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO EVANGELICO MIXTO BILINGÜE  ""MONTE SION""",1
ESTABLECIMIENTO,espacios multiples internos,"LICEO PARTICULAR MIXTO  ""JIREH""",1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PARTICULAR MIXTO  IMPERIAL,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  MOMOSTECO,1
