ESTABLECIMIENTO,Frecuencia,Porcentaje
LICEO  SANTA MARIA,1,0.04
INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE SEPOC,1,0.04
INSTITUTO PARTICULAR RICARDO ARJONA,1,0.04
"LICEO MIXTO PRIVADO ""SENDEROS PARA LA VIDA""",1,0.04
INSTITUTO MIXTO DE EDUCACIÓN FORTALEZA DEL FUTURO -INMEFF-,1,0.04
"COLEGIO MIXTO PRIVADO ""ASDECHI""",1,0.04
LICEO MIXTO EN COMPUTACIÓN DEL NORTE,1,0.04
"INSTITUTO MIXTO DE EDUCACIÓN ""FORTALEZA DEL FUTURO"" -INMEFF-",1,0.04
COLEGIO MIXTO PRIVADO BILINGUE 'SAN JUAN',1,0.04
INSTITUTO MIXTO DE MAGISTERIO BILINGUE  SAN ANTONIO DE PADUA,1,0.04
ESCUELA NORMAL BILINGUE INTERCULTURAL,1,0.04
COLEGIO DE MAGISTERIO BILINGUE NUEVO CHISEC,1,0.04
"INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA  ""SANTO DOMINGO""",1,0.04
COLEGIO TECNOLOGICO LICENCIADO HUMBERTO RIVERA GARCIA,1,0.04
INSTITUTO TECNICO VOCACIONAL  SAN AGUSTIN,1,0.04
CENTRO DE PROMOCION FEMENINA RATZ´UM KICHE´,1,0.04
"""INSTITUTO MIXTO INTERCULTURAL FRAYBARTOLOMENCE IMIF""",1,0.04
COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS,1,0.04
"LICEO TECNOLOGICO ""JOSE DE JESUS""",1,0.04
COLEGIO PARTICULAR MIXTO EL EXITO,1,0.04
INSTITUTO MIXTO DE EDUCACIÒN BILINGUE INTERCULTURAL,1,0.04
CENTRO DE PROMOCIÓN FEMENINA RATZ'UM K´ICHE´,1,0.04
COLEGIO CRISTIANO ISRAEL,1,0.04
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE,1,0.04
COLEGIO PARTICULAR MIXTO FRAY BARTOLOMÉ DE LAS CASAS,1,0.04
INED  INSTITUTO NACIONAL  DE EDUCACIÓN DIVERSIFICADA,1,0.04
COLEGIO PARTICULAR MIXTO EL ÉXITO 2,1,0.04
LICEO CRISTIANO MONTE SIÓN,1,0.04
LICEO TECNOLOGICO  JOSE DE JESUS,1,0.04
COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA,1,0.04
COLEGIO PARTICULAR MIXTO TINTECO MARIA TERESA,1,0.04
INSTITUTO MIXTO PRIVADO 'EL PORVENIR',1,0.04
"INSTITUTO MIXTO DE MAGISTERIO BILINGUE ""SAN ANTONIO DE PADUA""",1,0.04
LICEO SAN JOSE LA PRIMAVERA,1,0.04
COLEGIO SAN ANTONIO DE PADUA,1,0.04
INSTITUTO MIXTO DE EDUCACIÓN BILINGÜE INTERCULTURAL -IMEBI-,1,0.04
EODP DEL CENTRO DE BIENESTAR SOCIAL,1,0.04
EODP NO. 4,1,0.04
EODP NO. 3,1,0.04
EODP NO. 1,1,0.04
COLEGIO  PARTICULAR MIXTO TEZULUTLAN,1,0.04
ANEXA A LICEO MIXTO SAN MATEO,1,0.04
EOUN TIPO FEDERACION 'JOSE CLEMENTE CHAVARRIA',1,0.04
